title	link	category	description	pubDate
리나게이드, 제42차 J.P. 모건 헬스케어 콘퍼런스에서 발표 예정	https://www.newswire.co.kr/newsRead.php?no=982182&sourceType=rss	건강	RNA 의약품의 무한한 잠재력을 실현하는 기업 리나게이드 테라퓨틱스(ReNAgade Therapeutics)는 오늘 당사의 CEO인 아밋 D. 먼시(Amit D. Munshi)가 2024년 1월 9일 화요일 오전 8시 30분(태평양 표준시) 캘리포니아주 샌프란시스코에서 열리는 제42차 연례 J.P. 모건 헬스케어 콘퍼런스(J.P. Morgan Healthcare Conference)에서 발표할 예정이라고 밝혔다.||||||리나게이드 테라퓨틱스 소개||||||리나게이드는 신...	Fri, 05 Jan 2024 11:15:00 +0900
현대차·기아, 미국 고어社와 차세대 수소전기차 전해질막 공동개발 협약	https://www.newswire.co.kr/newsRead.php?no=982183&sourceType=rss	운송	현대차·기아가 연료전지 기술을 선도하는 고어社와 전해질막 공동개발에 돌입한다.||||||현대차·기아는 미국 W. L. Gore & Associates社 (더블유엘고어앤드어소시에이츠, 이하 고어社)와 현대차·기아 마북연구소에서 공동개발 협약식을 갖고 차세대 상용 수소전기차에 탑재하기 위한 전해질막을 함께 개발한다고 5일 밝혔다.||||||고어社는 소재 과학 및 엔지니어링 기술을 보유한 글로벌...	Fri, 05 Jan 2024 11:13:15 +0900
브이랩스, 소비자 참여형 이커머스 플랫폼 ‘MyV’ 홈페이지 전면 리뉴얼 오픈 기념 이벤트	https://www.newswire.co.kr/newsRead.php?no=982179&sourceType=rss	경제	브이랩스가 소비자 참여형 이커머스 플랫폼 사이트 ‘마이브이(MyV)’를 전면 리뉴얼했다고 5일 밝혔다.||||||이번 사이트 리뉴얼은 고객들의 편의성을 높이고 다양한 서비스를 제공하기 위한 것으로, 사용자 친화적인 인터페이스와 함께 마이브이(MyV)의 주력 서비스인 V포인트(구매 포인트) 지급 기능의 강화와 동시에 간편 회원가입 기능을 도입했다.||||||V포인트(구매 포인트) 지급...	Fri, 05 Jan 2024 11:08:16 +0900
좋은땅출판사 ‘울림이 있는 가슴의 소리’ 출간	https://www.newswire.co.kr/newsRead.php?no=982142&sourceType=rss	문화	좋은땅출판사가 ‘울림이 있는 가슴의 소리’를 펴냈다.||||||‘울림이 있는 가슴의 소리’는 ‘가슴이 좀 더 넓고 따뜻했으면’, ‘반추, 그리고 조용한 외침’에 이은 저자의 세 번째 책이다. 시와 산문을 포함해 145개가 수록된 이 책은 저자의 자기 고백, 삶의 의미 등을 주제로 하고 있다. 바쁘게 옮기던 삶의 발걸음을 멈추고 지금까지의 삶을 뒤돌아보면서 진정한 삶의 의미를...	Fri, 05 Jan 2024 11:00:00 +0900
한화생명e스포츠, 윌비플레이와 의류 스폰서십 계약 체결	https://www.newswire.co.kr/newsRead.php?no=982180&sourceType=rss	기술	한화생명e스포츠(Hanwha Life Esports)가 형지엘리트의 신규 론칭 스포츠 브랜드 ‘윌비플레이(WILLBE PLAY)’와 의류 스폰서십 신규 계약을 체결했다고 밝혔다.||||||한화생명e스포츠는 이번 계약을 통해 2024년 의류 후원사가 된 윌비플레이로부터 공식 유니폼과 재킷, 바지, 아우터 등 모든 의류 제품을 지원받는다.||||||윌비플레이는 55년 역사를 자랑하는 패션 종합기업 형지엘리트가 새롭...	Fri, 05 Jan 2024 10:54:12 +0900
한국레노버, 아동보호양육시설 ‘신망원’에 후원 물품 전달	https://www.newswire.co.kr/newsRead.php?no=982177&sourceType=rss	기술	한국레노버가 ESG 활동의 하나로 아동보호양육시설 ‘신망원’에 후원 물품을 전달했다.||||||레노버는 지역 사회로의 나눔과 사회공헌을 실천하기 위한 다양한 활동을 적극 실천하고 있다. 이번 활동에서는 한국레노버 임직원들이 자발적으로 참여해 신망원에서 생활하는 아동 및 자립준비청년에게 생활가전, 전자제품, 의류, 문화상품권, 장난감 등 약 500만원 상당의 물품을 전...	Fri, 05 Jan 2024 10:53:58 +0900
미래엔 아이세움 ‘윔피 키드 18: 부활한 핫도그 학교 일기’ 출간	https://www.newswire.co.kr/newsRead.php?no=982178&sourceType=rss	문화	교과서 발행 부수 1위 기업 미래엔의 아동출판브랜드 아이세움이 전 세계 어린이를 사로잡은 글로벌 아동문학 베스트셀러 윔피 키드의 열여덟 번째 이야기 ‘윔피 키드 18: 부활한 핫도그 학교 일기’를 출간했다.||||||‘윔피 키드’ 시리즈는 2007년 미국에서 처음 출간된 이래로 지금까지 2억7000만명 어린이들의 선택을 받은 글로벌 아동문학 베스트셀러다. 가장 유쾌한 이야기와 ...	Fri, 05 Jan 2024 10:51:54 +0900
인도 최고법원, 아다니 그룹에 대한 힌덴부르크 사건 종결	https://www.newswire.co.kr/newsRead.php?no=982173&sourceType=rss	경제	인도 대법원은 한 공매도 투자자가 아다니 그룹에 대해 악의적이고 근거 없는 주장을 한 보고서를 발표한 후 작년에 제기된 공익 소송(public interest litigation, PIL)을 수요일에 종결했다. 이 대기업은 선택적인 오정보와 오래되고 근거 없고 신뢰할 수 없는 억지 주장이 악의적으로 결합했다며 이 보고서를 묵살한 바 있다.||||||이에 대해 언급하면서 아다니 그룹의 회장인 가우탐 아다...	Fri, 05 Jan 2024 10:50:00 +0900
유블럭스, 다양한 차량용 애플리케이션 위한 모듈 제품 ‘JODY-W6’ 출시	https://www.newswire.co.kr/newsRead.php?no=982174&sourceType=rss	기술	위치 추적 및 무선 통신 기술 분야의 세계적 선도 기업 유블럭스(u-blox, 한국지사장 손광수)는 13.8×19.8×2.5㎜의 콤팩트한 크기로 LE 오디오 기능을 포함하는 블루투스 5.3과 동시 지원 가능한 듀얼밴드 와이파이 6E 지원 기능을 갖 모듈 제품 ‘JODY-W6’를 출시한다고 밝혔다. 이 새로운 모듈은 인포테인먼트와 내비게이션, 그리고 첨단 OEM 텔레매틱스 등 차량용 애플리케이션을 위한 ...	Fri, 05 Jan 2024 10:39:21 +0900
젝시믹스, 기습 한파에 기모·아우터 판매량 증가	https://www.newswire.co.kr/newsRead.php?no=982175&sourceType=rss	생활	미디어커머스 기업 브랜드엑스코퍼레이션(각자대표 이수연, 강민준)이 전개하는 액티브웨어 브랜드 젝시믹스(XEXYMIX)는 12월 중순 시작된 기습 한파로 기모 및 아우터 등 겨울 의류의 판매량이 급증했다고 5일 밝혔다.||||||특히 전국에 한파특보가 발효되는 등 영하 17도까지 떨어진 3주 차에는 기모 제품 판매량이 전주 대비 39.3% 증가했다.||||||스테디셀러인 ‘블랙라벨 시그니처 360N ...	Fri, 05 Jan 2024 10:39:05 +0900
삼성전자, CES 2024서 테슬라와 스마트싱스 에너지 협업 공개	https://www.newswire.co.kr/newsRead.php?no=982176&sourceType=rss	기술	삼성전자가 1월 9일부터 12일까지 미국 라스베이거스에서 열리는 세계 최대 가전 전시회 CES 2024에서 테슬라와 스마트싱스 에너지(SmartThings Energy)를 통한 협력을 발표한다. ||||||이번 협력은 테슬라의 인터페이스를 활용하는 최초 협업 사례로, 삼성 스마트싱스를 테슬라의 △태양광 패널 △파워월(Powerwall, 가정용 에너지저장장치) △전기차(EV) 등과 연결해 앱상에서 전력량을 모니...	Fri, 05 Jan 2024 10:39:00 +0900
함께하는사랑밭 독산지역아동센터 ‘경노당에 다녀왔어요’ 2023년 지역사회 나눔행사 재능발표회 진행	https://www.newswire.co.kr/newsRead.php?no=982154&sourceType=rss	사회	함께하는사랑밭 독산지역아동센터가 ‘경노당에 다녀왔어요’ 2023년 지역사회 나눔행사 재능발표회를 진행했다.||||||함께하는사랑밭 독산지역아동센터는 2022년부터 지역사회 어르신들과 따뜻하고 행복한 겨울을 맞이할 수 있도록 나눔의 가치를 실천하는 행사를 진행하고 있다. 올해도 기타와 우쿨렐레, 칼림바 등 다양한 악기를 배우고 익힌 재능을 소외되고 외로운 어르신들...	Fri, 05 Jan 2024 10:24:41 +0900
